zone_id,zone_name,area_m2,dist_alimentacion,access_alimentacion,dist_farmacia,access_farmacia,dist_salud,access_salud,dist_educacion,access_educacion,dist_parque,access_parque,dist_transporte,access_transporte,services_count,score_15min
B001,LA CREU COBERTA,374885.4482594542,273.86207209955023,1,172.50431695725104,1,540.1338386778772,1,226.46286519843846,1,313.74412906389506,1,88.69794327939005,1,6,100.0
B002,LA FONTETA S.LLUIS,238824.4183227799,144.69105372066252,1,151.4454717132998,1,333.0989323522964,1,199.0905597079541,1,79.20404144110228,1,69.83801692175034,1,6,100.0
B003,RAFALELL-VISTABELLA,2124468.7953189174,7881.493538452206,0,8083.176089217016,0,8856.970119559626,0,7617.223082514289,0,6971.17705828252,0,5665.754134769575,0,0,0.0
B004,CAMI DE VERA,827031.9850546262,644.1150586123977,1,522.477324299074,1,875.5354836905537,1,443.0718654667727,1,576.1714924449861,1,548.6175658731183,1,6,100.0
B005,BENIMAMET,1477191.5686163735,168.88838740450117,1,185.95910354400425,1,154.74592094532397,1,278.82694853354906,1,69.79850232368324,1,146.12676156719695,1,6,100.0
B006,BENIFERRI,533945.5579801189,451.0696262355521,1,426.2811335638014,1,491.84728317426857,1,142.60759095821797,1,96.48839797926533,1,204.481780143577,1,6,100.0
B007,EL PALMAR,36961639.71905103,3625.83892491585,0,3606.7179392775006,0,10259.077014137189,0,5390.697894185741,0,5586.864047502067,0,3048.7586595824446,0,0,0.0
B008,EL SALER,8247660.455508569,369.48659656238686,1,355.1855660951449,1,9092.407210206886,0,3171.474333288667,0,3475.559279523506,0,252.7420448701478,1,3,50.0
B009,EL PERELLONET,4928204.351112923,7162.566411118537,0,1297.0653006948799,0,15879.376480469577,0,9983.21077444241,0,10286.921201399071,0,480.025625072022,1,1,16.666666666666664
B010,CIUTAT FALLERA,496907.7422952865,150.3715674935679,1,552.0421714649553,1,745.6387390145857,1,38.72546199816857,1,355.30090637550984,1,83.65455476950254,1,6,100.0
B011,CARPESA,2255540.2317205565,1642.8929715340994,0,1471.5129125993521,0,2404.729552568071,0,1204.448119836326,0,372.2168075925613,1,156.00824147881445,1,2,33.33333333333333
B012,BORBOTO,1419590.7270890607,1365.7476842897072,0,1111.6523467550853,1,2954.838895615253,0,1556.8047949865957,0,555.2922222610777,1,653.9302963377986,1,3,50.0
B013,BENIFARAIG,1422068.4362080852,527.8146697817796,1,331.60219233885863,1,3518.3539363323866,0,585.5983830119613,1,830.4599929869769,1,178.82108588038892,1,5,83.33333333333334
B014,TORREFIEL,700270.6128918687,256.81400542648555,1,139.66803771412356,1,271.25708238388904,1,158.81824343849982,1,175.5100797843417,1,75.44935254058271,1,6,100.0
B015,TORMOS,279948.9956376612,155.1569285985081,1,281.40189527159276,1,527.6814189018486,1,90.58968830862355,1,104.37846470998997,1,184.72841377488666,1,6,100.0
B016,MARXALENES,390362.46998251474,195.41419727015844,1,421.6219386894045,1,659.3529227937057,1,123.70454676487587,1,105.30949720123253,1,49.21375916541269,1,6,100.0
B017,EL CALVARI,93681.62331594853,27.63789662542653,1,44.420657980199884,1,445.177208125917,1,354.88525596541643,1,200.60962559885536,1,92.23926713017745,1,6,100.0
B018,MORVEDRE,428181.3657314248,169.92362218394868,1,111.17698170651248,1,425.1750275710661,1,228.0155045007462,1,34.2065487720116,1,91.18652285258426,1,6,100.0
B019,TRINITAT,595674.0651733906,137.58743335153213,1,133.08495929164695,1,130.79804274626227,1,97.39472035200042,1,177.01688610744895,1,139.04090260670043,1,6,100.0
B020,EL CARME,384064.6551076556,77.1092564416265,1,274.5759546423835,1,419.5150344357865,1,64.2170387818176,1,311.2792871606553,1,270.0542556877968,1,6,100.0
B021,EL BOTANIC,370112.971292552,9.50625606691828,1,123.82442818668046,1,236.02732761584835,1,210.52470154325192,1,175.62718553904796,1,126.31263443771431,1,6,100.0
B022,EXPOSICIO,381606.8171348448,99.25002059005438,1,160.87075599158774,1,229.18092858711725,1,24.354108630289826,1,202.81106301514586,1,76.26595378858352,1,6,100.0
B023,LA XEREA,311647.88953998126,148.30678873962165,1,168.20548413005577,1,242.70345665842345,1,157.983906957179,1,211.88497619306875,1,78.9707325497562,1,6,100.0
B024,EL MERCAT,172793.972568703,33.11850469315251,1,36.995893384709426,1,131.60761581659165,1,209.13438558538954,1,336.7620998445917,1,109.22165518879477,1,6,100.0
B025,EL PILAR,161605.1075037302,153.73694279728812,1,113.10820781947027,1,220.15740722582714,1,95.04504106876796,1,104.58234177930665,1,137.9253137121459,1,6,100.0
B026,EL PLA DEL REMEI,386915.32038410415,43.16985780400843,1,56.35588966209926,1,207.10087282890447,1,175.85141515645654,1,392.82556537667625,1,51.97790286367383,1,6,100.0
B027,L'ILLA PERDUDA,231522.07974508769,104.32144182525765,1,108.43657422445331,1,143.51446226086603,1,105.25302030683517,1,212.96285042742315,1,133.96451582797832,1,6,100.0
B028,ARRANCAPINS,874368.7348052579,68.73481000208614,1,81.1839886976317,1,180.92777063680015,1,165.26168978544385,1,355.63747374105446,1,113.65299609746093,1,6,100.0
B029,LA ROQUETA,230567.0169419802,68.74215887209033,1,13.628732544217003,1,316.0124716458478,1,223.4945660560636,1,237.87719009884947,1,127.03395779353113,1,6,100.0
B030,LA RAIOSA,375446.31247804605,102.8764088021082,1,89.29585247685559,1,255.72014887850895,1,196.10781758194383,1,154.55250503385952,1,74.02596902696393,1,6,100.0
B031,SAFRANAR,441263.4305435939,316.1080400497695,1,299.87724529314823,1,634.823985665761,1,204.72528921284845,1,203.68526110252793,1,71.5304915026569,1,6,100.0
B032,SANT LLORENS,1532591.2397556026,248.05542017557534,1,599.7686948083623,1,396.22000746682784,1,171.0552795452785,1,340.1849241758673,1,277.84051154877267,1,6,100.0
B033,EN CORTS,364024.3523459941,49.74242766334368,1,99.82884243707022,1,410.48118856025184,1,285.88990967716586,1,59.09986814412682,1,8.942646542478084,1,6,100.0
