bbox_west,bbox_south,bbox_east,bbox_north,place_id,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,area_m2,zone_id,dist_alimentacion,access_alimentacion,dist_farmacia,access_farmacia,dist_salud,access_salud,dist_educacion,access_educacion,dist_parque,access_parque,dist_transporte,access_transporte,services_count,score_15min,cluster
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",341669.69391845865,Z001,2122.303238353512,0,2108.186089462388,0,2127.9672412155505,0,2138.453120051137,0,1834.3817713073265,0,1627.8873682084338,0,0,0.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",232227.8805171594,Z002,795.9565630957931,1,737.8240317219506,1,752.4992677691497,1,554.5754604911986,1,672.5760775291205,1,602.0688650774451,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",598378.5636029661,Z003,344.57668925040207,1,634.7124485074929,1,697.0766120259403,1,251.09966067641244,1,405.1614608008939,1,91.94993161022235,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",87221.34308912893,Z004,3986.704493275212,0,4029.048264836525,0,5601.084971826944,0,4229.153282544349,0,159.95412476429567,1,2262.3839117263665,0,1,16.666666666666664,3
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",763884.787410594,Z005,4694.7107229614885,0,4757.877592027057,0,6344.938602301072,0,4922.237625130912,0,962.6116839366666,1,3017.5261615604845,0,1,16.666666666666664,3
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",818522.8019576642,Z006,1402.0263665444245,0,1876.025641372289,0,1902.1389322750388,0,1946.9872281082994,0,1799.287905585226,0,716.5158309714107,1,1,16.666666666666664,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",926780.6420214231,Z007,1502.6224955259888,0,1446.4196221955467,0,1468.082227859416,0,1486.547262896204,0,1218.9964218436066,0,1042.413173052767,1,1,16.666666666666664,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",178557.15159359522,Z008,798.2374780373258,1,861.9719113436774,1,1086.930482245709,1,787.4496710449586,1,786.3317689078691,1,754.9008892276819,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",133362.51568669212,Z009,87.17478816302284,1,91.07312131133692,1,438.9760159166537,1,215.06587140361904,1,113.45304418579185,1,62.68244720878301,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",541613.088352958,Z010,993.4544533246079,1,1322.4250887898904,0,1083.4207317028106,1,999.4827717424902,1,1062.6052652015019,1,1025.867671232082,1,5,83.33333333333334,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",999140.761005817,Z011,693.1642369898537,1,587.4344330577488,1,777.3695803365325,1,150.98128028848612,1,724.9096885971157,1,452.25444012153827,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",651103.7403203532,Z012,149.6285078726632,1,122.36011393022594,1,390.314462580099,1,479.4252641533025,1,68.52758403092355,1,78.65852971922553,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",106299.1616526324,Z013,2473.485967001864,0,2474.114088538964,0,4443.981281463013,0,2740.951665807572,0,420.89332393249964,1,702.9770425573574,1,2,33.33333333333333,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",560176.2194542234,Z014,3199.815368688766,0,3255.639958113733,0,5308.301102209071,0,3435.8181246167865,0,237.09011382305485,1,1519.622133824546,0,1,16.666666666666664,3
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",79786.2168529178,Z015,4087.7748764949583,0,4158.533542253306,0,6026.186937048965,0,4311.066439545255,0,588.9513911343995,1,2440.6301694734702,0,1,16.666666666666664,3
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",828836.8149783788,Z016,444.7734498478776,1,1272.1895760969337,0,1296.8976866531118,0,1185.0476588606577,1,1361.9149404181287,0,228.93805143508246,1,3,50.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z017,664.236268812324,1,506.2536035516258,1,532.1208812186827,1,575.9150612742774,1,502.53209776312195,1,406.7205978208115,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",1000000.0,Z018,293.14092266043997,1,304.1298453004418,1,761.442425752455,1,467.85627214660315,1,440.7904125945911,1,299.9431637506155,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",976662.2331210743,Z019,358.9979341194466,1,382.31485859360123,1,115.68140114236012,1,44.18434404578679,1,162.3095027245206,1,10.635545594728242,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",863000.9882802814,Z020,229.75581824414095,1,188.0522013764421,1,470.376693266814,1,409.39505230486094,1,112.97254665516868,1,104.94363191219348,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",974881.0065276697,Z021,387.74547347375415,1,465.55052064779727,1,364.7014518178495,1,272.4151002532525,1,197.84952979849626,1,227.68847970861628,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",996750.9621155639,Z022,403.0464080138213,1,435.4353475346586,1,336.6350168810298,1,184.53828241137228,1,100.45791456664462,1,59.82278188653855,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",112669.20350899569,Z023,212.163261638027,1,587.2795445334724,1,650.7851793911917,1,335.8941540491499,1,146.0568613410382,1,255.8273381634257,1,6,100.0,0
-0.4325512,39.2784496,-0.2725205,39.566609,294718178,relation,344953,39.4697065,-0.3763353,boundary,administrative,16,0.7306288056783602,city,Valencia,"Valencia, Comarca de València, Valencia, Valencian Community, Spain",73116.23765324314,Z024,1438.9501657588494,0,1864.5968993886333,0,2098.9166790953254,0,1482.6444084709979,0,848.9988755916116,1,966.7295992014161,1,2,33.33333333333333,0
