name,categoria,lat,lon
,farmacia,39.474955699999995,-0.36487809999999965
,farmacia,39.47797139999999,-0.36314690000000094
Mercadona,alimentacion,39.4766594,-0.36281269999999977
Sant Isidre,transporte,39.4510701,-0.40261730000000057
Facultats Manuel Broseta,transporte,39.4778139,-0.3623614000000001
Facultats Manuel Broseta,transporte,39.47764589999999,-0.3618003000000009
Facultats Manuel Broseta,transporte,39.4783917,-0.3614166999999998
Facultats Manuel Broseta,transporte,39.47855540000001,-0.3619944000000009
Colón,transporte,39.47030440000001,-0.3708839000000005
Colón,transporte,39.46952550000001,-0.37154380000000065
Farmacia del Treda,farmacia,39.4951529,-0.39641490000000096
Farmacia Castejon,farmacia,39.451077,-0.40310139999999983
,farmacia,39.453284,-0.4031130000000006
Mercadona,alimentacion,39.4531762,-0.4033839000000013
,salud,39.453991599999995,-0.37672350000000093
Consum,alimentacion,39.4505646,-0.37216540000000137
Consum,alimentacion,39.4526054,-0.37522030000000045
Farmacia Vidal Simeón,farmacia,39.45431309999999,-0.37669050000000043
Consum,alimentacion,39.45490800000002,-0.3757511000000008
Vicent Zaragozà,transporte,39.4833051,-0.35728990000000116
Universitat Politècnica,transporte,39.4811835,-0.35001369999999987
la Carrasca,transporte,39.479595,-0.3444999000000003
Tarongers Ernest Lluch,transporte,39.47816329999999,-0.33953370000000055
Beteró,transporte,39.476702,-0.33446840000000116
,farmacia,39.45342509999999,-0.37165899999999985
,farmacia,39.45227069999999,-0.3720970000000007
Mercadona,alimentacion,39.4537653,-0.40372650000000043
Centro de salud San Isidro,salud,39.4512596,-0.4029061000000002
,farmacia,39.4574659,-0.3925276999999989
C/ Dr. Sanchis Sivera,transporte,39.469633699999996,-0.3849028000000003
C/ Xàtiva / Pl. San Agustín,transporte,39.467813899999996,-0.3776238000000008
C/ Conca,transporte,39.46956620000001,-0.38406990000000074
La Cadena,transporte,39.475244499999995,-0.3294173000000008
Platja Malva-rosa,transporte,39.473896999999994,-0.3256238000000012
Platja les Arenes,transporte,39.46902360000001,-0.3256364999999998
Dr. Lluch,transporte,39.46843750000001,-0.32812699999999984
Cabanyal,transporte,39.47227399999999,-0.3275746000000013
Benimaclet,transporte,39.4849982,-0.3630506000000007
Trinitat,transporte,39.4863151,-0.3675371999999999
Pont de Fusta,transporte,39.48218839999999,-0.37291299999999966
Palau de Congressos,transporte,39.49723590000001,-0.40006840000000043
Garbí,transporte,39.4921542,-0.3941330000000002
Benicalap,transporte,39.489968199999986,-0.39001609999999987
Trànsits,transporte,39.48955329999999,-0.3870384999999994
Marxalenes,transporte,39.487955199999995,-0.3838592000000009
Reus,transporte,39.4859308,-0.38171709999999937
,farmacia,39.47368659999999,-0.38366680000000014
Farmacia Amparo Hortiguela,farmacia,39.47279810000001,-0.380878299999999
Carda - Moro Zeit,transporte,39.4751061,-0.3808685999999995
Porta de la Mar,transporte,39.4716561,-0.36774260000000075
Ferran el Catòlic - S. Ignacio de Loyola,transporte,39.473763299999995,-0.3877646000000022
Edifici del Rellotge,transporte,39.460356999999995,-0.3324960999999999
Dr. Lluch - Vicent Gallart,transporte,39.4656252,-0.3285489999999994
Mediterrani,transporte,39.4672337,-0.3283056000000006
Dr. Lluch,transporte,39.46940079999999,-0.3279746999999996
Cabanyal,transporte,39.471664600000004,-0.32764949999999904
Dr. Lluch - Vicent Guillot,transporte,39.47346929999999,-0.32737690000000036
Cavite - Riu Tajo,transporte,39.476167100000005,-0.3265469000000005
Cavite - Vicent la Roda,transporte,39.47907250000001,-0.3266808000000017
Cavite - Font d'en Carròs,transporte,39.4815287,-0.3266952999999994
Malva-rosa - Cavite,transporte,39.48316839999998,-0.32656740000000123
la Malva-rosa - Mendizábal,transporte,39.48381129999999,-0.3278537000000011
la Malva-rosa - Sant Joan de Déu,transporte,39.47802459999999,-0.32810150000000077
la Malva-rosa - Riu Tajo,transporte,39.4762116,-0.32780300000000007
Pintor Ferrandis - Progrés,transporte,39.472021600000005,-0.3288096
Pintor Ferrandis - Àngels,transporte,39.47225310000001,-0.3317084999999997
Pintor Ferrandis - Josep Benlliure,transporte,39.4719649,-0.3294355000000009
Església dels Àngels - Pintor Ferrandis,transporte,39.47237630000001,-0.3318723
Mercat del Cabanyal,transporte,39.468427999999996,-0.33243570000000067
Reina - Columbretes,transporte,39.46811490000002,-0.3288058999999996
Manuel Soto Enginyer - Comandància Marina,transporte,39.455754600000006,-0.33037539999999893
Manuel Soto Enginyer - Estació,transporte,39.4583399,-0.3322737000000006
Major de Natzaret - Vilanova i Piera,transporte,39.451973300000006,-0.33367579999999986
Pont de les Drassanes,transporte,39.4544964,-0.3306676000000006
Major de Natzaret - Castell de Pop,transporte,39.44852819999999,-0.33463619999999944
Mercat de Natzaret,transporte,39.45023729999999,-0.33415620000000035
Vall de la Ballestera - Campanar,transporte,39.480863899999996,-0.3936647000000005
Aras de los Olmos - Castell de Pop,transporte,39.4486455,-0.3330301999999997
Punta al Mar - Camí Canal,transporte,39.4448201,-0.33519430000000033
Eugenia Viñes - Camps,transporte,39.47256949999999,-0.32565630000000045
Platja Les Arenes,transporte,39.4695889,-0.3256733000000009
Poliesportiu Natzaret - Moraira,transporte,39.450407899999995,-0.3325133000000008
Poliesportiu Natzaret - Pont de les Drassanes,transporte,39.4518255,-0.33208550000000064
Blasco Ibáñez - Ramon Llull,transporte,39.474373400000005,-0.3487409999999996
Blasco Ibáñez - Vinalopó,transporte,39.475118,-0.351212900000001
Ramon Llull - Escultor Alfons Gabino,transporte,39.47524359999999,-0.3471374000000011
Blasco Ibáñez - República Argentina,transporte,39.474816999999994,-0.35119110000000037
Blasco Ibáñez - Dr. Manuel Candela,transporte,39.474157899999994,-0.3490533000000003
Blasco Ibáñez - Actor Enrique Rambal,transporte,39.472801299999986,-0.3426064
Blasco Ibáñez - Hondures,transporte,39.473772000000004,-0.34590440000000044
Blasco Ibáñez - José María Orense,transporte,39.47200819999998,-0.3399610999999998
Sants Just i Pastor - Humanista Furió,transporte,39.468843099999994,-0.3449163000000002
Blasco Ibáñez - Enginyer Rafael Janini,transporte,39.4713643,-0.3402779000000012
Blasco Ibáñez - Músic Ginés,transporte,39.4721346,-0.3429228999999991
Blasco Ibáñez - Actriu Encarna Máñez,transporte,39.47309739999999,-0.34617380000000153
Sants Just i Pastor - Lluís de Milà,transporte,39.470745,-0.35220860000000054
Centre de Salut República Argentina,transporte,39.471093799999984,-0.3526876000000001
Amistat,transporte,39.470322,-0.3500597000000001
Sants Just i Pastor - Lleons,transporte,39.469488500000004,-0.3472288000000001
Dr. Manuel Candela (parell) - Blasco Ibáñez,transporte,39.4728012,-0.3481292000000014
Dr. Manuel Candela (parell) - Rodríguez de Cepeda,transporte,39.4682958,-0.34996530000000114
Sants Just i Pastor - Peris Brell,transporte,39.46901399999999,-0.34627700000000095
Amistat,transporte,39.4698215,-0.3490818999999999
Blasco Ibáñez - Almela i Vives,transporte,39.4768374,-0.35619509999999954
Blasco Ibáñez - Rubén Darío,transporte,39.4758773,-0.3538671000000003
Cardenal Benlloch - Dr. Vicente Pallarés,transporte,39.474221400000005,-0.3528733000000005
Cardenal Benlloch (parell) - Port,transporte,39.467575899999986,-0.3561395000000001
Jardí de Monforte,transporte,39.4788198,-0.36567740000000015
Blasco Ibáñez - Rectorat,transporte,39.4791388,-0.36505129999999997
Blasco Ibáñez (parell) - Ciutat Universitària,transporte,39.4780896,-0.3631682000000004
Facultats,transporte,39.477557,-0.3613953000000009
Blasco Ibáñez - Gascó Oliag,transporte,39.4772399,-0.3576203000000009
Facultat de Psicologia,transporte,39.47798499999999,-0.36011150000000064
Hospital Clínic,transporte,39.4789358,-0.3634283999999996
Blasco Ibáñez - Jaume Roig,transporte,39.47959849999999,-0.36555400000000027
Cabanilles - Primat Reig,transporte,39.48398949999999,-0.3641976000000005
Cabanilles - Álvaro de Bazán,transporte,39.48195969999999,-0.3652084
Cabanilles - Vivers,transporte,39.4798977,-0.36621850000000056
Jaume Roig - Álvaro de Bazán,transporte,39.48128899999998,-0.3639781000000009
Facultat de Filologia,transporte,39.4768946,-0.3591775000000006
Blasco Ibáñez - Bèlgica,transporte,39.4758319,-0.3548400000000009
Dr. Gómez Ferrer - Menéndez y Pelayo,transporte,39.4799124,-0.3609465000000012
Primat Reig - Campus Universitari,transporte,39.4801748,-0.3581365000000005
Primat Reig - Jaume Roig,transporte,39.4840655,-0.36339019999999955
Primat Reig - Emili Baró,transporte,39.48426909999999,-0.36318980000000056
Primat Reig - Camí Vera,transporte,39.4803423,-0.3579151000000008
Benimaclet,transporte,39.48512430000001,-0.36208230000000036
Jaume Roig - Primat Reig,transporte,39.4831899,-0.3630322999999988
Emili Baró - Francesc Martínez,transporte,39.48822340000001,-0.3605738999999991
Emili Baró - Manuel Castellanos,transporte,39.4865886,-0.36138870000000084
Sant Joan Bosco - Daroca,transporte,39.496614699999995,-0.36986810000000037
Primat Reig - Almassora,transporte,39.4882499,-0.36899359999999987
Primat Reig - Bilbao,transporte,39.49013029999999,-0.37151100000000065
Pare Viñas - Reig Genovés,transporte,39.49207890000001,-0.3717248000000003
Primat Reig - Sant Vicent de Paül,transporte,39.49006899999999,-0.37102759999999946
Pare Viñas - Daroca,transporte,39.4957828,-0.3689941000000002
Pare Viñas - Duc de Mandas,transporte,39.4942394,-0.3703963000000005
Primat Reig - Calderón de la Barca,transporte,39.486050899999995,-0.3660655000000003
Aragó - Passeig de l'Albereda,transporte,39.46947149999999,-0.36012790000000083
Primat Reig,transporte,39.48699379999999,-0.36789070000000096
Centre d'Especialitats Ricard Trénor,transporte,39.4818137,-0.37060029999999966
Alboraia - Jaca,transporte,39.4840793,-0.36942910000000034
Eduard Boscà - Passeig de l'Albereda,transporte,39.4646234,-0.3578486999999997
Eduard Boscà - Balears,transporte,39.464559,-0.35760470000000144
Ernest Ferrer - Polo y Peyrolón,transporte,39.47179810000001,-0.35523449999999945
Cardenal Benlloch (imparell) - Port,transporte,39.46745399999998,-0.35647259999999986
Cardenal Benlloch - Ciutat de Mula,transporte,39.47418809999999,-0.35316899999999973
Cardenal Benlloch - Ernest Ferrer,transporte,39.4720087,-0.35422429999999905
Vivers,transporte,39.47792739999999,-0.3669341000000004
Vivers,transporte,39.477321499999995,-0.3674738000000007
Constitució (parell) - Campaneta,transporte,39.50234319999999,-0.36852950000000095
Sant Miquel dels Reis,transporte,39.49883220000001,-0.3702458000000002
Constitució - Sant Joan de la Penya,transporte,39.49653500000001,-0.37081549999999863
Constitució - Duc de Mandas,transporte,39.49459089999999,-0.3719193000000009
Dr. Peset Aleixandre - Constitució,transporte,39.4917498,-0.3748058000000007
Dr. Peset Aleixandre - Camí de Montcada,transporte,39.49084959999999,-0.3788877000000014
Dr. Peset Aleixandre - Guardacostes,transporte,39.4899889,-0.38278160000000017
Dr. Peset Aleixandre - Joan XXIII,transporte,39.4901869,-0.38298619999999994
Joan XXIII (parell) - Félix del Río,transporte,39.491127,-0.38227920000000176
Constitució - Coronel Montesinos,transporte,39.493276,-0.3733843000000005
Sant Miquel dels Reis,transporte,39.49930779999998,-0.370291199999999
Constitució (imparell) - Campaneta,transporte,39.50242889999999,-0.3686354000000004
